stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate,Latitude,Longitude,x,y,Elevation,Slope,Aspect,Curvature,Northness,Eastness
2235:CA:SCAN,2235,CA,SCAN,Adobe,GC,Mono,180901010607.0,6500.0,37.97787,-118.68626,-8.0,,,2023-09-27 00:00:00.0,2100-01-01,37.984,-118.7,175.0,306.0,1983.1718,0.68146515,164.77959,4619.9565,-0.7675485,-0.25673893
07007010:CO:BOR,07007010,CO,BOR,Adobe Creek Reservoir,CO,Kiowa,110200090303.0,4150.0,38.26609,-103.24373,,,,1949-11-01 00:00:00.0,2100-01-01,38.272,-103.256,604.0,298.0,1264.4834,5.4448013,298.00134,350.24164,0.43894476,0.7233075
0027:WY:COOP,0027,WY,COOP,Afton,MT,Lincoln,170401050205.0,6210.0,42.73333,-110.93333,,,AFOW4,1909-10-01 00:00:00.0,2100-01-01,42.736,-110.924,391.0,174.0,2296.3672,0.140419,249.63226,1763.7844,-0.3349316,0.7531396
516700:MT:USGS,516700,MT,USGS,Agency Crk ab Jocko S Canal nr Arlee,MT,Missoula,170102120705.0,3725.0,47.12579,-113.9974,,,,1999-10-01 00:00:00.0,2100-01-01,47.128,-113.984,306.0,52.0,1725.7815,0.10460663,303.65637,-3256.6812,0.5060703,0.6941732
AGP:CA:MSNT,AGP,CA,MSNT,Agnew Pass,GC,Madera,180400060401.0,9450.0,37.724,-119.143,,,,1989-11-24 00:00:00.0,2100-01-01,37.732,-119.132,163.0,313.0,3336.7925,0.70900726,55.572987,-4782.235,0.5145563,-0.689709
AGP:CA:SNOW,AGP,CA,SNOW,Agnew Pass,UN,Madera,180400060401.0,9450.0,37.724,-119.143,,,,1930-04-01 00:00:00.0,2100-01-01,37.732,-119.132,163.0,313.0,3336.7925,0.70900726,55.572987,-4782.235,0.5145563,-0.689709
907:UT:SNTL,907,UT,SNTL,Agua Canyon,UT,Kane,160300020301.0,8900.0,37.52217,-112.27118,-8.0,,AGUU1,1994-10-01 00:00:00.0,2100-01-01,37.516,-112.256,354.0,319.0,2353.2756,0.34028625,76.58906,-2247.0012,0.22790408,-0.7715764
12502500:WA:USGS,12502500,WA,USGS,Ahtanum Ck at Union Gap,OR,Yakima,170300030105.0,940.0,46.53596,-120.4734,,,,1903-10-31 00:00:00.0,2100-01-01,46.552,-120.464,126.0,68.0,450.5402,3.5093231,251.81015,235.49461,-0.30258116,0.7597771
2237:CA:SCAN,2237,CA,SCAN,Alabama Hills,GC,Inyo,180901030207.0,5230.0,36.56295,-118.13562,-8.0,,,2023-09-28 00:00:00.0,2100-01-01,36.58,-118.124,191.0,345.0,1420.4463,0.24076843,56.066444,9445.806,0.50914073,-0.6925816
08236000:CO:USGS,08236000,CO,USGS,Alamosa Ck ab Terrace Reservoir,CO,Conejos,130100020304.0,8600.0,37.37473,-106.33476,,,,1914-05-01 00:00:00.0,2100-01-01,37.372,-106.352,518.0,323.0,3076.3374,0.23082733,78.85645,621.4432,0.19091387,-0.7758818
0130:CO:COOP,0130,CO,COOP,Alamosa WSO AP,UN,Alamosa,130100020710.0,7540.0,37.45,-105.86666,,,ALSC2,1948-01-01 00:00:00.0,2100-01-01,37.444,-105.884,531.0,321.0,2297.2852,26.539951,108.17094,129.64784,-0.30229533,-0.7598313
06H11:WY:SNOW,06H11,WY,SNOW,Albany,CO,Albany,101800100501.0,9120.0,41.18333,-106.16667,,,ALSW4,1949-02-01 00:00:00.0,2100-01-01,41.188,-106.172,523.0,217.0,2862.8389,1.6813736,101.519066,-1988.4988,-0.19710125,-0.7752253
0088:MT:COOP,0088,MT,COOP,Albion 1 N,MT,Carter,101102010507.0,3310.0,45.2,-104.28333,,,ALBM8,1945-07-01 00:00:00.0,2100-01-01,45.184,-104.3,575.0,106.0,1024.385,2.2033463,325.1589,243.22026,0.6872597,0.51905113
916:MT:SNTL,916,MT,SNTL,Albro Lake,MT,Madison,100200050701.0,8300.0,45.59723,-111.95902,-8.0,,ABRM8,1996-09-01 00:00:00.0,2100-01-01,45.58,-111.968,362.0,95.0,2389.2432,0.24233246,48.42243,-4466.613,0.5858997,-0.64225703
0234:NM:COOP,0234,NM,COOP,Albuquerque WSFO Airpor,UN,Bernalillo,130202030304.0,5310.0,35.05,-106.61666,,,ABQN5,1897-01-01 00:00:00.0,2100-01-01,35.032000000000004,-106.604,511.0,388.0,1579.7075,2.6179962,247.9854,967.0395,-0.35863292,0.74758106
0245:NM:COOP,0245,NM,COOP,Alcalde,UN,Rio Arriba,130201011107.0,5680.0,36.1,-106.06666,,,ALCN5,1953-01-01 00:00:00.0,2100-01-01,36.112,-106.064,526.0,358.0,1735.4197,0.811882,196.79485,1947.595,-0.7636096,0.28128454
2172:NM:SCAN,2172,NM,SCAN,Alcalde,GC,Rio Arriba,130201011107.0,5693.0,36.0908,-106.05668,-7.0,53313.0,ALDN5,2010-03-10 00:00:00.0,2100-01-01,36.076,-106.064,526.0,359.0,1757.3638,0.7189102,270.04218,2815.138,0.00073599943,0.78539807
06641500:WY:BOR,06641500,WY,BOR,Alcova,CO,Natrona,101800070201.0,5447.0,42.54837,-106.7209,,,,1938-02-01 00:00:00.0,2100-01-01,42.556,-106.712,508.0,179.0,1726.7352,0.5784378,347.24805,3766.0571,0.77291226,0.21724692
2138:UT:SCAN,2138,UT,SCAN,Alkali Mesa,GC,San Juan,140802030601.0,6445.0,37.67455,-109.36429,-7.0,34635.0,ALKU1,2007-09-17 00:00:00.0,2100-01-01,37.66,-109.376,434.0,315.0,1896.1844,0.8305435,139.16681,35.793232,-0.6477221,-0.5790833
11G35:ID:SNOW,11G35,ID,SNOW,Allen Ranch,ID,Caribou,170402070208.0,6496.0,42.78735,-111.43125,,,ALLI1,1961-02-01 00:00:00.0,2100-01-01,42.772,-111.428,377.0,173.0,1947.4332,0.5861435,305.74835,2441.585,0.5287406,0.6817686
ALP:CA:MSNT,ALP,CA,MSNT,Alpha,GC,El Dorado,180201290204.0,7600.0,38.805,-120.215,,,,1965-10-01 00:00:00.0,2100-01-01,38.812,-120.212,133.0,283.0,2009.3964,0.4420395,198.05385,426.61267,-0.7601651,0.30052412
APH:CA:SNOW,APH,CA,SNOW,Alpha,UN,El Dorado,180201290302.0,7600.0,38.804,-120.216,,,,1965-04-01 00:00:00.0,2100-01-01,38.812,-120.212,133.0,283.0,2009.3964,0.4420395,198.05385,426.61267,-0.7601651,0.30052412
0159:AZ:COOP,0159,AZ,COOP,Alpine,UN,Apache,150400040301.0,8050.0,33.85,-109.13333,,,ALPA3,1904-10-01 00:00:00.0,2100-01-01,33.844,-109.124,441.0,421.0,2449.0996,0.5535965,158.27266,-455.42108,-0.74858457,-0.354547
21B48:WA:SNOW,21B48,WA,SNOW,Alpine Meadow,OR,Snohomish,171100100501.0,3500.0,47.77997,-121.6989,,,APSW1,1969-03-01 00:00:00.0,2100-01-01,47.776,-121.688,92.0,34.0,505.7591,0.3263855,344.56882,-5300.9595,0.7670448,0.26005524
908:WA:SNTL,908,WA,SNTL,Alpine Meadows,OR,King,171100100501.0,3500.0,47.77957,-121.69847,-8.0,,APSW1,1994-09-01 00:00:00.0,2100-01-01,47.776,-121.688,92.0,34.0,505.7591,0.3263855,344.56882,-5300.9595,0.7670448,0.26005524
14306500:OR:USGS,14306500,OR,USGS,Alsea nr Tidewater,OR,Lincoln,171002050403.0,48.0,44.38333,-123.81667,,,,1939-10-01 00:00:00.0,2100-01-01,44.392,-123.812,33.0,128.0,285.68564,1.0260239,254.61023,1712.7373,-0.25940448,0.7671443
0140:WY:COOP,0140,WY,COOP,Alta 1 NW,MT,Teton,170402040205.0,6430.0,43.78333,-111.03333,,,ALTW4,1909-08-01 00:00:00.0,2100-01-01,43.78,-111.032,388.0,145.0,2005.0094,0.3859253,300.44196,4969.2954,0.4689657,0.7115015
11J61:UT:SNOW,11J61,UT,SNOW,Alta Central,UT,Salt Lake,160202040202.0,8800.0,40.59117,-111.63794,,,ATCU1,1984-01-01 00:00:00.0,2100-01-01,40.576,-111.644,371.0,234.0,2883.425,0.19808197,143.21458,-9123.122,-0.6752796,-0.53955126
1239:CA:SNTLT,1239,CA,SNTLT,Althouse,OR,Del Norte,171003110302.0,4970.0,41.99617,-123.547,-8.0,,ABZO3,2013-06-25 00:00:00.0,2100-01-01,41.98,-123.56,40.0,195.0,1334.5089,0.39378357,301.16516,-4917.823,0.47755492,0.7077818
23G17:CA:SNOW,23G17,CA,SNOW,Althouse #3 Rev,OR,Del Norte,171003110302.0,4970.0,41.99617,-123.547,,,,2013-10-01 00:00:00.0,2100-01-01,41.98,-123.56,40.0,195.0,1334.5089,0.39378357,301.16516,-4917.823,0.47755492,0.7077818
09013000:CO:USGS,09013000,CO,USGS,Alva B. Adams Tunnel at East Portal,CO,Larimer,101900060203.0,8199.0,40.3278,-105.5774,,,,1946-10-01 00:00:00.0,2100-01-01,40.324,-105.56,540.0,241.0,2780.0935,0.6183548,1.292641,-186.49348,0.7852709,-0.022555105
1198:NV:SNTLT,1198,NV,SNTLT,American Beauty,UT,Elko,160401030901.0,7545.0,40.53373,-115.45768,-8.0,,AMBN2,2011-12-23 00:00:00.0,2100-01-01,40.54,-115.46,265.0,235.0,2560.605,0.4618225,264.6309,-9187.917,-0.093299784,0.78319967
15J17:NV:SNOW,15J17,NV,SNOW,American Beauty - Aerial Marker,UT,Elko,160401030901.0,7545.0,40.53373,-115.45677,,,AMBN2,1964-03-01 00:00:00.0,2100-01-01,40.54,-115.46,265.0,235.0,2560.605,0.4618225,264.6309,-9187.917,-0.093299784,0.78319967
13076500:ID:BOR,13076500,ID,BOR,American Falls Reservoir,ID,Power,170402061009.0,4356.0,42.78003,-112.87597,,,,1925-10-01 00:00:00.0,2100-01-01,42.772,-112.868,337.0,173.0,1402.1409,0.61283875,316.66776,1597.1185,0.62887084,0.6014229
10164500:UT:USGS,10164500,UT,USGS,American Fk ab Upper Powerplant,UT,Utah,160202010802.0,5950.0,40.44773,-111.68215,,,,1927-01-01 00:00:00.0,2100-01-01,40.432,-111.68,370.0,238.0,2976.8977,0.31661987,351.66336,-13028.188,0.7800868,0.1439856
11446500:CA:USGS,11446500,CA,USGS,American R A Fair Oaks CA,UN,Sacramento,180201110201.0,71.53,38.63546,-121.22773,,,,1904-10-01 00:00:00.0,2100-01-01,38.632000000000005,-121.22,105.0,288.0,54.863537,2.2139816,280.09845,420.5735,0.17357537,0.7775918
1144650N:CA:USGS,1144650N,CA,USGS,American R A Fair Oaks Ca NWS,UN,Sacramento,180201110201.0,71.0,38.63333,-121.21666,,,,1904-10-31 00:00:00.0,2100-01-01,38.632000000000005,-121.22,105.0,288.0,54.863537,2.2139816,280.09845,420.5735,0.17357537,0.7775918
12488500:WA:USGS,12488500,WA,USGS,American R nr Nile,OR,Yakima,170300020107.0,2700.0,46.97762,-121.1687,,,,1909-04-25 00:00:00.0,2100-01-01,46.984,-121.184,106.0,56.0,973.57007,0.31985474,14.3169565,6135.461,0.76962584,-0.24242248
13190000:ID:BOR,13190000,ID,BOR,Anderson Ranch Reservoir,ID,Elmore,170501130805.0,4196.0,43.35832,-115.44808,,,,1946-01-01 00:00:00.0,2100-01-01,43.348,-115.46,265.0,157.0,1498.4072,0.3006363,333.9662,3380.9336,0.73200524,0.4135863
302:OR:SNTL,302,OR,SNTL,Aneroid Lake #2,OR,Wallowa,170601050101.0,7400.0,45.21328,-117.19258,-8.0,,ANRO3,1980-10-01 00:00:00.0,2100-01-01,45.22,-117.188,217.0,105.0,2721.439,0.23004913,199.61195,-11866.799,-0.75553435,0.3238322
06401000:SD:BOR,06401000,SD,BOR,Angostura,MT,Fall River,101201060509.0,3180.0,43.34297,-103.43827,,,,1950-10-01 00:00:00.0,2100-01-01,43.348,-103.436,599.0,157.0,987.3941,1.789566,14.043982,1771.874,0.7702275,-0.23806487
09361500:CO:USGS,09361500,CO,USGS,Animas R at Durango,CO,La Plata,140801040604.0,6502.0,37.27917,-107.88034,,,,1897-10-01 00:00:00.0,2100-01-01,37.264,-107.864,476.0,326.0,2112.0786,0.6249542,187.49226,2924.8608,-0.7811112,0.1296605
9362500:CO:USGS,9362500,CO,USGS,Animas-La Plata Project Diversion,CO,La Plata,140801040901.0,6460.0,37.25862,-107.87765,,,,2008-04-01 00:00:00.0,2100-01-01,37.264,-107.864,476.0,326.0,2112.0786,0.6249542,187.49226,2924.8608,-0.7811112,0.1296605
1000:OR:SNTL,1000,OR,SNTL,Annie Springs,OR,Klamath,180102030101.0,6010.0,42.87007,-122.16518,-8.0,31218.0,ANSO3,2000-09-01 00:00:00.0,2100-01-01,42.88,-122.156,79.0,170.0,1864.8491,0.71484375,191.83992,-3315.3516,-0.7746466,0.20236936
ANR:CA:SNOW,ANR,CA,SNOW,Antelope Ridge,UN,Plumas,180201220206.0,5650.0,40.155,-120.542,,,,1963-02-01 00:00:00.0,2100-01-01,40.144,-120.536,124.0,246.0,1695.44,1.3368301,253.34634,-342.7128,-0.27910513,0.7639795
ATS:CA:SNOW,ATS,CA,SNOW,Antelope Springs,UN,Amador,180400120405.0,4350.0,38.503,-120.467,,,,1939-02-01 00:00:00.0,2100-01-01,38.488,-120.464,126.0,292.0,1068.2494,0.5906067,144.67734,853.2005,-0.6843665,-0.5242212
05L05:CO:SNOW,05L05,CO,SNOW,Antero,CO,Park,101900010204.0,9300.0,38.91667,-105.96667,,,ATRC2,1949-02-01 00:00:00.0,2100-01-01,38.92,-105.956,529.0,280.0,2839.7683,0.41453552,31.161665,-188.35187,0.7078001,-0.4775136
0263:CO:COOP,0263,CO,COOP,Antero Reservoir,UN,Park,101900010210.0,8920.0,39.0,-105.88333,,,ANTC2,1961-01-01 00:00:00.0,2100-01-01,38.992,-105.884,531.0,278.0,2724.3843,1.8840485,326.11978,1595.31,0.6928891,0.5085515
05L06:CO:SNOW,05L06,CO,SNOW,Antero Reservoir,CO,Park,101900010210.0,9000.0,39.0,-105.88333,,,ANTC2,1983-02-01 00:00:00.0,2100-01-01,38.992,-105.884,531.0,278.0,2724.3843,1.8840485,326.11978,1595.31,0.6928891,0.5085515
06016010:CO:BOR,06016010,CO,BOR,Antero Reservoir,CO,Park,101900010205.0,8950.0,38.99371,-105.89598,,,,1952-09-01 00:00:00.0,2100-01-01,38.992,-105.884,531.0,278.0,2724.3843,1.8840485,326.11978,1595.31,0.6928891,0.5085515
1245:OR:SNTLT,1245,OR,SNTLT,Anthony Lake,OR,Baker,170502030503.0,7160.0,44.9591,-118.22668,-8.0,,ANZO3,2013-07-18 00:00:00.0,2100-01-01,44.968,-118.232,188.0,112.0,2349.145,1.3249588,116.95152,-9975.522,-0.42554203,-0.72803795
18E31:OR:SNOW,18E31,OR,SNOW,Anthony Lake (Rev),OR,Baker,170502030503.0,7160.0,44.9591,-118.22668,,,,2008-01-01 00:00:00.0,2100-01-01,44.968,-118.232,188.0,112.0,2349.145,1.3249588,116.95152,-9975.522,-0.42554203,-0.72803795
ATP:CA:SNOW,ATP,CA,SNOW,Anthony Peak,UN,Tehama,180201150301.0,6200.0,39.842,-122.95,,,,1944-02-01 00:00:00.0,2100-01-01,39.856,-122.948,57.0,254.0,1695.4165,0.2385025,96.95518,-6837.903,-0.120506145,-0.7817052
303:CO:SNTL,303,CO,SNTL,Apishapa,CO,Huerfano,110200060406.0,10027.0,37.33067,-105.06766,-8.0,,APSC2,1979-10-01 00:00:00.0,2100-01-01,37.336,-105.056,554.0,324.0,3141.671,0.23228455,168.02075,-4390.444,-0.77439016,-0.20465165
14361900:OR:BOR,14361900,OR,BOR,Applegate,OR,Jackson,171003090109.0,1763.0,42.0549,-123.11564,,,,1980-10-01 00:00:00.0,2100-01-01,42.052,-123.128,52.0,193.0,659.28424,0.3941803,325.4457,9376.352,0.68895996,0.5159426
14362000:OR:USGS,14362000,OR,USGS,Applegate Lake Inflow,OR,Jackson,171003090201.0,1748.0,42.06374,-123.11144,,,,1938-10-01 00:00:00.0,2100-01-01,42.052,-123.128,52.0,193.0,659.28424,0.3941803,325.4457,9376.352,0.68895996,0.5159426
1030:CO:SNTL,1030,CO,SNTL,Arapaho Ridge,CO,Grand,140100010604.0,10976.0,40.35098,-106.38141,-8.0,,ARPC2,2002-08-01 00:00:00.0,2100-01-01,40.36,-106.388,517.0,240.0,3197.2651,0.45009613,258.7014,-8798.422,-0.193472,0.77561337
304:OR:SNTL,304,OR,SNTL,Arbuckle Mtn,OR,Morrow,170702020604.0,5770.0,45.19085,-119.25392,-8.0,,ARBO3,1978-10-01 00:00:00.0,2100-01-01,45.184,-119.24,160.0,106.0,1588.5026,0.8196945,37.586143,-5022.1577,0.6701124,-0.5477062
10D14:MT:SNOW,10D14,MT,SNOW,Arch Falls,MT,Gallatin,100200081001.0,7350.0,45.42775,-110.96027,,,ARCM8,1961-04-01 00:00:00.0,2100-01-01,45.436,-110.96,390.0,99.0,2854.8245,0.5868988,22.744038,-12000.474,0.74496806,-0.36891457
0375:ID:COOP,0375,ID,COOP,Arco 3 SW,ID,Butte,170402180803.0,5330.0,43.6,-113.33333,,,AROI1,1914-04-01 00:00:00.0,2100-01-01,43.6,-113.336,324.0,150.0,1617.565,5.747528,77.947426,1954.2866,0.20585133,-0.774254
07099400:CO:USGS,07099400,CO,USGS,Arkansas R ab Pueblo,CO,Pueblo,110200020905.0,4740.0,38.27167,-104.71803,,,,1959-05-01 00:00:00.0,2100-01-01,38.272,-104.732,563.0,298.0,1471.121,2.9865875,59.95074,695.42535,0.4642429,-0.71347845
07091500:CO:USGS,07091500,CO,USGS,Arkansas R at Salida,CO,Chaffee,110200010709.0,7050.0,38.54583,-106.01057,,,,1909-10-01 00:00:00.0,2100-01-01,38.56,-106.028,527.0,290.0,2170.2437,0.9887085,303.69852,10276.04,0.50653833,0.69393235
05K12:CO:SNOW,05K12,CO,SNOW,Arrow #2,CO,Grand,140100010202.0,9668.0,39.91562,-105.76079,,,,1850-01-01 00:00:00.0,2100-01-01,39.928,-105.776,534.0,252.0,2985.2397,0.2509079,281.6665,7161.022,0.19952416,0.77496135
13194000:ID:BOR,13194000,ID,BOR,Arrowrock Reservoir,ID,Elmore,170501120602.0,3219.0,43.59394,-115.92234,,,,1917-10-01 00:00:00.0,2100-01-01,43.6,-115.928,252.0,150.0,1014.2485,0.5288086,79.65201,1786.0586,0.17773086,-0.77719915
0438:NV:COOP,0438,NV,COOP,Arthur 4 NW,UN,Elko,160600071102.0,6300.0,40.78333,-115.18333,,,ARTN2,1910-09-01 00:00:00.0,2100-01-01,40.792,-115.172,273.0,228.0,1889.4922,0.6368866,219.7645,4205.08,-0.6553495,0.5690532
10311200:NV:USGS,10311200,NV,USGS,Ash Canyon Ck nr Carson City,UT,Carson City,160502010505.0,5080.0,39.1763,-119.80574,,,,1976-01-01 00:00:00.0,2100-01-01,39.172,-119.816,144.0,273.0,1547.3861,0.20692444,81.92305,5224.384,0.13958907,-0.7804136
ASH:CA:SNOW,ASH,CA,SNOW,Ash Creek,UN,Siskiyou,180200040102.0,5000.0,41.4,-122.05,,,,1945-04-01 00:00:00.0,2100-01-01,41.404,-122.048,82.0,211.0,1462.2717,0.25330353,139.24611,4238.9224,-0.6482971,-0.57834876
2214:CA:SCAN,2214,CA,SCAN,Ash Valley,GC,Lassen,180200021404.0,5097.0,41.05204,-120.6872,-8.0,,VYAC1,2014-10-23 00:00:00.0,2100-01-01,41.044,-120.68,120.0,221.0,1660.617,0.63954926,18.7342,1323.3651,0.7581934,-0.31077147
0304:OR:COOP,0304,OR,COOP,Ashland,OR,Jackson,171003080107.0,1750.0,42.21666,-122.71666,,,ASHO3,1892-07-01 00:00:00.0,2100-01-01,42.232,-122.732,63.0,188.0,592.6661,1.4184799,300.38153,8392.449,0.46824157,0.71180767
12367100:MT:USGS,12367100,MT,USGS,Ashley Ck nr Marion,MT,Flathead,170102080102.0,3850.0,48.16662,-114.60097,,,,1977-01-01 00:00:00.0,2100-01-01,48.172,-114.596,289.0,23.0,1208.0315,0.42446136,147.73914,274.61127,-0.7019497,-0.4903008
09266500:UT:USGS,09266500,UT,USGS,Ashley Ck nr Vernal,UT,Uintah,140600100805.0,6231.0,40.57746,-109.62209,,,,1914-10-01 00:00:00.0,2100-01-01,40.576,-109.628,427.0,234.0,1899.7358,0.19325256,173.4744,3112.7942,-0.78214824,-0.1131617
1165:MT:SNTLT,1165,MT,SNTLT,Ashley Divide,MT,Flathead,170102080108.0,4820.0,48.20161,-114.51495,-8.0,,AYDM8,2010-01-09 00:00:00.0,2100-01-01,48.208,-114.524,291.0,22.0,1242.388,0.34493256,104.87775,-2594.7651,-0.25132847,-0.76835203
14A19:MT:SNOW,14A19,MT,SNOW,Ashley Divide,MT,Flathead,170102080108.0,4820.0,48.20161,-114.51495,,,AYDM8,1981-02-01 00:00:00.0,2100-01-01,48.208,-114.524,291.0,22.0,1242.388,0.34493256,104.87775,-2594.7651,-0.25132847,-0.76835203
12367000:MT:BOR,12367000,MT,BOR,Ashley Lake,MT,Flathead,170102080101.0,3946.0,48.18333,-114.61667,,,,1975-05-01 00:00:00.0,2100-01-01,48.172,-114.632,288.0,23.0,1460.9401,0.2346344,96.38745,47.73787,-0.11079572,-0.7822847
0470:ID:COOP,0470,ID,COOP,Ashton,ID,Fremont,170402020701.0,5260.0,44.06666,-111.45,,,ASHI1,1897-02-01 00:00:00.0,2100-01-01,44.068,-111.464,376.0,137.0,1612.2388,2.8680496,312.7658,2097.3528,0.59649485,0.63327014
13335050:WA:USGS,13335050,WA,USGS,Asotin Ck at Asotin,OR,Asotin,170601030209.0,760.0,46.34072,-117.05599,,,,1991-03-22 00:00:00.0,2100-01-01,46.336,-117.044,221.0,74.0,286.95886,0.96206665,339.02957,4221.364,0.75115985,0.34368297
0372:CO:COOP,0372,CO,COOP,Aspen 1 SW,UN,Pitkin,140100040203.0,8160.0,39.18333,-106.83333,,,ASPC2,1949-11-01 00:00:00.0,2100-01-01,39.172,-106.82,505.0,273.0,2818.0417,0.15037537,3.2893183,6666.5566,0.7845738,-0.05731507
10E08:WY:SNOW,10E08,WY,SNOW,Aster Creek,ID,Teton,170401010104.0,7750.0,44.26778,-110.62612,,,ACWW4,1919-01-01 00:00:00.0,2100-01-01,44.284,-110.636,399.0,131.0,2552.747,0.29497528,282.6195,-2794.2822,0.21509553,0.7731724
0328:OR:COOP,0328,OR,COOP,Astoria WSO Airport,OR,Clatsop,170800060208.0,10.0,46.15,-123.88333,,,ASTO3,1953-01-01 00:00:00.0,2100-01-01,46.156,-123.884,31.0,79.0,3.460999,4.4470825,299.0905,612.3156,0.45253915,0.7181799
306:ID:SNTL,306,ID,SNTL,Atlanta Summit,ID,Elmore,170501110204.0,7580.0,43.7569,-115.23907,-8.0,,ATAI1,1978-10-01 00:00:00.0,2100-01-01,43.744,-115.244,271.0,146.0,2374.1104,0.18466187,236.16473,-8614.246,-0.5080542,0.69314784
1308:UT:SNTL,1308,UT,SNTL,Atwater,UT,Salt Lake,160202040202.0,8753.0,40.59124,-111.63775,-8.0,,,2022-08-25 00:00:00.0,2100-01-01,40.576,-111.644,371.0,234.0,2883.425,0.19808197,143.21458,-9123.122,-0.6752796,-0.53955126
CO0041:CO:USGS,CO0041,CO,USGS,August P Gumlick Tunnel,CO,Grand,140100010402.0,10450.0,39.76087,-105.90642,,,,1946-10-01 00:00:00.0,2100-01-01,39.748000000000005,-105.92,530.0,257.0,3823.7688,0.38615417,9.614203,-5327.246,0.778326,-0.1654858
0507:NV:COOP,0507,NV,COOP,Austin,UN,Lander,160401070401.0,6600.0,39.5,-117.08333,,,ASTN2,1888-04-01 00:00:00.0,2100-01-01,39.496,-117.08,220.0,264.0,2152.1777,0.23553467,318.54785,-1889.5154,0.6431867,0.58476084
08284160:NM:USGS,08284160,NM,USGS,Azotea Tunnel,CO,Rio Arriba,130201020301.0,7519.0,36.8533,-106.6717,,,,1970-10-01 00:00:00.0,2100-01-01,36.868,-106.676,509.0,337.0,2348.517,1.4871063,196.89786,2962.3723,-0.76333773,0.28287202
05N21:NM:SNOW,05N21,NM,SNOW,Aztec #2,CO,Colfax,110800020204.0,9880.0,36.63333,-105.18333,,,AZEN5,1993-01-01 00:00:00.0,2100-01-01,36.616,-105.2,550.0,344.0,3072.8496,0.18167877,94.99001,-8122.086,-0.08676376,-0.7834995
15F02:ID:SNOW,15F02,ID,SNOW,Bad Bear,ID,Boise,170501120301.0,4928.0,43.90129,-115.70731,,,BADI1,1961-01-01 00:00:00.0,2100-01-01,43.888,-115.712,258.0,142.0,1765.244,0.308815,261.93414,-485.0222,-0.13940135,0.78042734
