stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
304:OR:SNTL,304,OR,SNTL,Arbuckle Mtn,OR,Morrow,170702020604.0,5770.0,45.19085,-119.25392,-8.0,,ARBO3,1978-10-01 00:00:00.0,2100-01-01
10D14:MT:SNOW,10D14,MT,SNOW,Arch Falls,MT,Gallatin,100200081001.0,7350.0,45.42775,-110.96027,,,ARCM8,1961-04-01 00:00:00.0,2100-01-01
0375:ID:COOP,0375,ID,COOP,Arco 3 SW,ID,Butte,170402180803.0,5330.0,43.6,-113.33333,,,AROI1,1914-04-01 00:00:00.0,2100-01-01
07099400:CO:USGS,07099400,CO,USGS,Arkansas R ab Pueblo,CO,Pueblo,110200020905.0,4740.0,38.27167,-104.71803,,,,1959-05-01 00:00:00.0,2100-01-01
07091500:CO:USGS,07091500,CO,USGS,Arkansas R at Salida,CO,Chaffee,110200010709.0,7050.0,38.54583,-106.01057,,,,1909-10-01 00:00:00.0,2100-01-01
05K12:CO:SNOW,05K12,CO,SNOW,Arrow #2,CO,Grand,140100010202.0,9668.0,39.91562,-105.76079,,,,1850-01-01 00:00:00.0,2100-01-01
13194000:ID:BOR,13194000,ID,BOR,Arrowrock Reservoir,ID,Elmore,170501120602.0,3219.0,43.59394,-115.92234,,,,1917-10-01 00:00:00.0,2100-01-01
0438:NV:COOP,0438,NV,COOP,Arthur 4 NW,UN,Elko,160600071102.0,6300.0,40.78333,-115.18333,,,ARTN2,1910-09-01 00:00:00.0,2100-01-01
10311200:NV:USGS,10311200,NV,USGS,Ash Canyon Ck nr Carson City,UT,Carson City,160502010505.0,5080.0,39.1763,-119.80574,,,,1976-01-01 00:00:00.0,2100-01-01
ASH:CA:SNOW,ASH,CA,SNOW,Ash Creek,UN,Siskiyou,180200040102.0,5000.0,41.4,-122.05,,,,1945-04-01 00:00:00.0,2100-01-01
2214:CA:SCAN,2214,CA,SCAN,Ash Valley,GC,Lassen,180200021404.0,5097.0,41.05204,-120.6872,-8.0,,VYAC1,2014-10-23 00:00:00.0,2100-01-01
0304:OR:COOP,0304,OR,COOP,Ashland,OR,Jackson,171003080107.0,1750.0,42.21666,-122.71666,,,ASHO3,1892-07-01 00:00:00.0,2100-01-01
12367100:MT:USGS,12367100,MT,USGS,Ashley Ck nr Marion,MT,Flathead,170102080102.0,3850.0,48.16662,-114.60097,,,,1977-01-01 00:00:00.0,2100-01-01
09266500:UT:USGS,09266500,UT,USGS,Ashley Ck nr Vernal,UT,Uintah,140600100805.0,6231.0,40.57746,-109.62209,,,,1914-10-01 00:00:00.0,2100-01-01
1165:MT:SNTLT,1165,MT,SNTLT,Ashley Divide,MT,Flathead,170102080108.0,4820.0,48.20161,-114.51495,-8.0,,AYDM8,2010-01-09 00:00:00.0,2100-01-01
14A19:MT:SNOW,14A19,MT,SNOW,Ashley Divide,MT,Flathead,170102080108.0,4820.0,48.20161,-114.51495,,,AYDM8,1981-02-01 00:00:00.0,2100-01-01
12367000:MT:BOR,12367000,MT,BOR,Ashley Lake,MT,Flathead,170102080101.0,3946.0,48.18333,-114.61667,,,,1975-05-01 00:00:00.0,2100-01-01
0470:ID:COOP,0470,ID,COOP,Ashton,ID,Fremont,170402020701.0,5260.0,44.06666,-111.45,,,ASHI1,1897-02-01 00:00:00.0,2100-01-01
13335050:WA:USGS,13335050,WA,USGS,Asotin Ck at Asotin,OR,Asotin,170601030209.0,760.0,46.34072,-117.05599,,,,1991-03-22 00:00:00.0,2100-01-01
0372:CO:COOP,0372,CO,COOP,Aspen 1 SW,UN,Pitkin,140100040203.0,8160.0,39.18333,-106.83333,,,ASPC2,1949-11-01 00:00:00.0,2100-01-01
10E08:WY:SNOW,10E08,WY,SNOW,Aster Creek,ID,Teton,170401010104.0,7750.0,44.26778,-110.62612,,,ACWW4,1919-01-01 00:00:00.0,2100-01-01
0328:OR:COOP,0328,OR,COOP,Astoria WSO Airport,OR,Clatsop,170800060208.0,10.0,46.15,-123.88333,,,ASTO3,1953-01-01 00:00:00.0,2100-01-01
306:ID:SNTL,306,ID,SNTL,Atlanta Summit,ID,Elmore,170501110204.0,7580.0,43.7569,-115.23907,-8.0,,ATAI1,1978-10-01 00:00:00.0,2100-01-01
1308:UT:SNTL,1308,UT,SNTL,Atwater,UT,Salt Lake,160202040202.0,8753.0,40.59124,-111.63775,-8.0,,,2022-08-25 00:00:00.0,2100-01-01
CO0041:CO:USGS,CO0041,CO,USGS,August P Gumlick Tunnel,CO,Grand,140100010402.0,10450.0,39.76087,-105.90642,,,,1946-10-01 00:00:00.0,2100-01-01
0507:NV:COOP,0507,NV,COOP,Austin,UN,Lander,160401070401.0,6600.0,39.5,-117.08333,,,ASTN2,1888-04-01 00:00:00.0,2100-01-01
08284160:NM:USGS,08284160,NM,USGS,Azotea Tunnel,CO,Rio Arriba,130201020301.0,7519.0,36.8533,-106.6717,,,,1970-10-01 00:00:00.0,2100-01-01
05N21:NM:SNOW,05N21,NM,SNOW,Aztec #2,CO,Colfax,110800020204.0,9880.0,36.63333,-105.18333,,,AZEN5,1993-01-01 00:00:00.0,2100-01-01
15F02:ID:SNOW,15F02,ID,SNOW,Bad Bear,ID,Boise,170501120301.0,4928.0,43.90129,-115.70731,,,BADI1,1961-01-01 00:00:00.0,2100-01-01
06093200:MT:USGS,06093200,MT,USGS,Badger Ck nr Browning,MT,Glacier,100302010203.0,4179.0,48.34619,-112.84176,,,,1951-01-01 00:00:00.0,2100-01-01
BDF:CA:SNOW,BDF,CA,SNOW,Badger Flat,UN,Fresno,180400060902.0,8300.0,37.265,-119.108,,,,1960-02-01 00:00:00.0,2100-01-01
14G03:ID:SNOW,14G03,ID,SNOW,Badger Gulch,ID,Cassia,170402110302.0,6756.0,42.09762,-114.17287,,,BDGI1,1947-03-01 00:00:00.0,2100-01-01
307:MT:SNTL,307,MT,SNTL,Badger Pass,MT,Pondera,100302010201.0,6900.0,48.13088,-113.02317,-8.0,,BADM8,1968-10-01 00:00:00.0,2100-01-01
0484:WY:COOP,0484,WY,COOP,Baggs,MT,Carbon,140500030704.0,6240.0,41.03333,-107.65,,,BAGW4,1979-09-01 00:00:00.0,2100-01-01
0454:CO:COOP,0454,CO,COOP,Bailey,UN,Park,101900020204.0,7730.0,39.4,-105.48333,,,BLYC2,1901-04-01 00:00:00.0,2100-01-01
06116500:MT:BOR,06116500,MT,BOR,Bair Res,MT,Meagher,100402010105.0,5325.0,46.57919,-110.55886,,,,1939-11-01 00:00:00.0,2100-01-01
17A07:WA:SNOW,17A07,WA,SNOW,Baird #2,OR,Stevens,170200030201.0,3159.0,48.6067,-117.55251,,,,1994-02-01 00:00:00.0,2100-01-01
308:AZ:SNTL,308,AZ,SNTL,Baker Butte,CO,Coconino,150602030206.0,7363.0,34.45654,-111.40651,-8.0,,BKBA3,1965-10-01 00:00:00.0,2100-01-01
11R07:AZ:SNOW,11R07,AZ,SNOW,Baker Butte No. 2,CO,Gila,150602030206.0,7700.0,34.45,-111.38333,,,XBBA3,1972-01-01 00:00:00.0,2100-01-01
1140:AZ:SNTL,1140,AZ,SNTL,Baker Butte Smt,CO,Coconino,150602030103.0,7752.0,34.45552,-111.38262,-8.0,,BBSA3,2009-05-18 00:00:00.0,2100-01-01
14L01:NV:SNOW,14L01,NV,SNOW,Baker Creek #1,UT,White Pine,160203010802.0,7950.0,38.97485,-114.25147,,,BKEN2,1942-03-01 00:00:00.0,2100-01-01
14L02:NV:SNOW,14L02,NV,SNOW,Baker Creek #2,UT,White Pine,160203010802.0,8950.0,38.97098,-114.27697,,,BAKN2,1942-03-01 00:00:00.0,2100-01-01
14L03:NV:SNOW,14L03,NV,SNOW,Baker Creek #3,UT,White Pine,160203010802.0,9250.0,38.96715,-114.28668,,,BKCN2,1942-04-01 00:00:00.0,2100-01-01
0412:OR:COOP,0412,OR,COOP,Baker FAA AP,OR,Baker,170502030302.0,3370.0,44.83333,-117.81666,,,BKEO3,1943-05-01 00:00:00.0,2100-01-01
12193500:WA:USGS,12193500,WA,USGS,Baker R at Concrete,OR,Skagit,171100051007.0,190.0,48.54,-121.74194,,,,1910-10-01 00:00:00.0,2100-01-01
19H01:NV:SNOW,19H01,NV,SNOW,Bald Mt.,OR,Humboldt,160402040101.0,6720.0,41.78333,-119.61667,,,BLDN2,1940-03-01 00:00:00.0,2100-01-01
1240:NV:SNTLT,1240,NV,SNTLT,Bald Mtn AM,OR,Washoe,160402040101.0,6720.0,41.78333,-119.61667,-8.0,,BLDN2,2017-07-18 00:00:00.0,2100-01-01
17D10:OR:SNOW,17D10,OR,SNOW,Bald Mtn Am OR,OR,Union,170601040504.0,6600.0,45.21158,-117.6626,,,BDZO3,1960-02-01 00:00:00.0,2100-01-01
447:OR:SNTLT,447,OR,SNTLT,Bald Mtn AM OR,OR,Union,170601040504.0,6700.0,45.21158,-117.6626,-8.0,,,2018-08-21 00:00:00.0,2100-01-01
309:WY:SNTL,309,WY,SNTL,Bald Mtn.,MT,Big Horn,100800100501.0,9380.0,44.8007,-107.84442,-8.0,,BLDW4,1975-10-01 00:00:00.0,2100-01-01
21E22:OR:SNOW,21E22,OR,SNOW,Bald Peter,OR,Jefferson,170703011002.0,5600.0,44.67778,-121.69228,,,BPZO3,1973-01-01 00:00:00.0,2100-01-01
310:AZ:SNTL,310,AZ,SNTL,Baldy,CO,Apache,150200010203.0,9221.0,33.97845,-109.50357,-8.0,,BLDA3,1949-11-01 00:00:00.0,2100-01-01
05K23:CO:SNOW,05K23,CO,SNOW,Baltimore,CO,Gilpin,101900050502.0,8800.0,39.9,-105.58333,,,BLTC2,1961-02-01 00:00:00.0,2100-01-01
0471:OR:COOP,0471,OR,COOP,Bandon 2 NNE,OR,Coos,171003050506.0,20.0,43.15,-124.4,,,BDNO3,1897-06-01 00:00:00.0,2100-01-01
311:MT:SNTL,311,MT,SNTL,Banfield Mountain,MT,Lincoln,170101011202.0,5600.0,48.5712,-115.44573,-8.0,,BANM8,1968-10-01 00:00:00.0,2100-01-01
312:ID:SNTL,312,ID,SNTL,Banner Summit,ID,Boise,170501200202.0,7040.0,44.30342,-115.23447,-8.0,,BASI1,1979-10-01 00:00:00.0,2100-01-01
1212:AZ:SNTL,1212,AZ,SNTL,Bar M,CO,Coconino,150602020601.0,6397.0,34.86142,-111.60497,-8.0,,BRMA3,2012-09-06 00:00:00.0,2100-01-01
15B11:MT:SNOW,15B11,MT,SNOW,Baree Creek,MT,Lincoln,170101020202.0,5500.0,47.96252,-115.53938,,,BAEM8,1937-05-01 00:00:00.0,2100-01-01
15B16:MT:SNOW,15B16,MT,SNOW,Baree Midway,MT,Lincoln,170101020202.0,4600.0,47.96132,-115.51945,,,BREM8,1966-03-01 00:00:00.0,2100-01-01
15B15:MT:SNOW,15B15,MT,SNOW,Baree Trail,MT,Lincoln,170101020202.0,3800.0,47.95203,-115.49348,,,BTLM8,1965-03-01 00:00:00.0,2100-01-01
313:MT:SNTL,313,MT,SNTL,Barker Lakes,MT,Deer Lodge,170102010304.0,8250.0,46.09713,-113.13038,-8.0,,BRLM8,1977-08-01 00:00:00.0,2100-01-01
20G23:OR:SNOW,20G23,OR,SNOW,Barley Camp AM,OR,Lake,171200070102.0,6890.0,42.02282,-120.1093,,,BRZO3,1981-01-01 00:00:00.0,2100-01-01
1246:OR:SNTLT,1246,OR,SNTLT,Barney Creek,OR,Baker,170502020202.0,5830.0,44.36069,-118.31114,-8.0,,BRCO3,2013-07-18 00:00:00.0,2100-01-01
18E37:OR:SNOW,18E37,OR,SNOW,Barney Creek (New),OR,Baker,170502020202.0,5830.0,44.36067,-118.31113,,,,2008-02-01 00:00:00.0,2100-01-01
06016020:CO:BOR,06016020,CO,BOR,Barr Lake,CO,Adams,101900030501.0,5150.0,39.95,-104.76667,,,,1949-12-01 00:00:00.0,2100-01-01
10F02:WY:SNOW,10F02,WY,SNOW,Base Camp,ID,Teton,170401010304.0,7030.0,43.94583,-110.44677,,,BSCW4,1930-04-01 00:00:00.0,2100-01-01
314:WY:SNTL,314,WY,SNTL,Base Camp,ID,Teton,170401010304.0,7060.0,43.94019,-110.44544,-8.0,,BSCW4,1979-10-01 00:00:00.0,2100-01-01
0540:WY:COOP,0540,WY,COOP,Basin,MT,Big Horn,100800071208.0,3840.0,44.38333,-108.05,,,BSNW4,1898-05-01 00:00:00.0,2100-01-01
12D09:MT:SNOW,12D09,MT,SNOW,Basin Creek,MT,Silver Bow,170102010201.0,7180.0,45.79737,-112.52047,,,BSCM8,1961-04-01 00:00:00.0,2100-01-01
315:MT:SNTL,315,MT,SNTL,Basin Creek,MT,Silver Bow,170102010201.0,7180.0,45.79737,-112.52047,-8.0,,BSCM8,1976-10-01 00:00:00.0,2100-01-01
1190:MT:SNTL,1190,MT,SNTL,Bassoo Peak,MT,Sanders,170102120105.0,5150.0,47.85562,-114.75841,-8.0,,BASM8,2011-10-12 00:00:00.0,2100-01-01
14B03:MT:SNOW,14B03,MT,SNOW,Bassoo Peak,MT,Sanders,170102120105.0,5150.0,47.85562,-114.75841,,,BASM8,1961-03-01 00:00:00.0,2100-01-01
316:NM:SNTL,316,NM,SNTL,Bateman,CO,Rio Arriba,130201020901.0,9249.0,36.51174,-106.31543,-8.0,,BAMN5,1978-10-01 00:00:00.0,2100-01-01
0552:WY:COOP,0552,WY,COOP,Bates Creek 2,MT,Natrona,101800070103.0,6010.0,42.63333,-106.38333,,,BCRW4,1960-10-01 00:00:00.0,2100-01-01
1295:ID:SNTLT,1295,ID,SNTLT,Battle Creek AM,ID,Owyhee,170501040905.0,5720.0,42.47694,-116.32576,-8.0,,,2018-05-18 00:00:00.0,2100-01-01
16G09:ID:SNOW,16G09,ID,SNOW,Battle Creek AM,ID,Owyhee,170501040905.0,5710.0,42.47742,-116.32585,,,BATI1,1958-02-01 00:00:00.0,2100-01-01
0482:WA:COOP,0482,WA,COOP,Battle Ground,OR,Clark,170800030102.0,280.0,45.76666,-122.53333,,,,1928-06-01 00:00:00.0,2100-01-01
317:WY:SNTL,317,WY,SNTL,Battle Mountain,CO,Carbon,140500030109.0,7498.0,41.05402,-107.26674,-8.0,,BTLW4,1985-10-01 00:00:00.0,2100-01-01
0691:NV:COOP,0691,NV,COOP,Battle Mountain 4 SE,UN,Lander,160401050903.0,4540.0,40.61666,-116.88333,,,B23N2,1944-01-01 00:00:00.0,2100-01-01
BCH:CA:MSNT,BCH,CA,MSNT,Beach Meadows,GC,Tulare,180300010403.0,7650.0,36.127,-118.293,,,,1982-10-30 00:00:00.0,2100-01-01
BHM:CA:SNOW,BHM,CA,SNOW,Beach Meadows,UN,Tulare,180300010403.0,7650.0,36.122,-118.293,,,,1930-04-01 00:00:00.0,2100-01-01
318:MT:SNTL,318,MT,SNTL,Beagle Springs,MT,Beaverhead,100200010501.0,8850.0,44.47147,-112.98191,-8.0,,BEAM8,1976-10-01 00:00:00.0,2100-01-01
319:ID:SNTL,319,ID,SNTL,Bear Basin,ID,Adams,170602100104.0,5350.0,44.95222,-116.14293,-8.0,,BRBI1,1979-10-01 00:00:00.0,2100-01-01
BBS:CA:SNOW,BBS,CA,SNOW,Bear Basin,UN,Trinity,180102110501.0,6500.0,40.967,-122.867,,,,1947-04-01 00:00:00.0,2100-01-01
320:ID:SNTL,320,ID,SNTL,Bear Canyon,ID,Custer,170402180101.0,7900.0,43.74367,-113.93797,-8.0,,BECI1,1979-10-01 00:00:00.0,2100-01-01
